"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.maven.UpgradeParentVersion","366","278","0","0.0","0","532261","0.99","126929"
"org.openrewrite.java.migrate.net.JavaNetAPIs","366","278","0","0.0","0","76170","0.99","861"
"com.oracle.weblogic.rewrite.jakarta.RemovedStateManagerMethods3","366","278","0","0.0","0","37661","0.99","511"
"org.openrewrite.java.ChangeMethodAccessLevel","1464","278","0","0.0","0","22366255","0.99","6038654"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime","366","278","0","0.0","0","45839","0.99","1132"
"org.openrewrite.github.SetupJavaUpgradeJavaVersion","1098","278","0","0.0","0","512922","0.99","35416"
"org.openrewrite.java.migrate.AddLombokMapstructBinding","366","278","0","0.0","0","44596","0.99","692"
"org.openrewrite.java.migrate.jakarta.JavaxWebsocketToJakartaWebsocket","366","278","0","0.0","0","74992","0.99","10800"
"org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName","366","278","0","0.0","0","60338","0.99","821"
"org.openrewrite.java.migrate.util.OptionalNotEmptyToIsPresent","366","278","0","0.0","0","2004756","0.99","55446"
"org.openrewrite.java.migrate.DeprecatedCountStackFramesMethod","366","278","0","0.0","0","64325","0.99","812"
"org.openrewrite.java.migrate.JREThrowableFinalMethods","366","278","0","0.0","0","2694931","0.99","359701"
"org.openrewrite.java.migrate.jakarta.UpdateApacheWSSecurityPackages","366","278","0","0.0","0","53358","0.99","731"
"org.openrewrite.java.migrate.ReplaceLocalizedStreamMethods","366","278","0","0.0","0","50956341","0.99","8781676"
"org.openrewrite.java.migrate.javaee8.ServletIsRequestedSessionIdFromURL","366","278","0","0.0","0","38752","0.99","580"
"org.openrewrite.staticanalysis.BigDecimalRoundingConstantsToEnums","366","278","0","0.0","0","11852452","0.99","5924646"
"com.oracle.weblogic.rewrite.jakarta.JakartaFaces3Xhtml","366","278","0","0.0","0","54435","0.99","14728"
"org.openrewrite.java.migrate.javax.MigrateElementKindVisitor6To9","366","278","0","0.0","0","52838","0.99","1132"
"org.openrewrite.gradle.AddDependency","366","278","3260229","0.99","258699","10612948","0.99","8742341"
"org.openrewrite.java.migrate.UpgradeJavaVersion","1098","278","0","0.0","0","300879417","0.99","13711940"
"com.oracle.weblogic.rewrite.jakarta.JavaxWebFragmentXmlToJakartaWebFragmentXml5","366","278","0","0.0","0","32751","0.99","762"
"org.openrewrite.java.migrate.lang.MigrateClassNewInstanceToGetDeclaredConstructorNewInstance","366","278","0","0.0","0","2860857","0.99","1220681"
"org.openrewrite.java.migrate.util.ReplaceMathRandomWithThreadLocalRandomRecipe","366","278","0","0.0","0","5051355","0.99","1691983"
"org.openrewrite.java.dependencies.RemoveDependency","1098","278","9712512","0.99","7839822","35387796","0.99","8736953"
"org.openrewrite.java.migrate.jakarta.JavaxXmlSoapToJakartaXmlSoap","366","278","0","0.0","0","45159","0.99","642"
"com.oracle.weblogic.rewrite.jakarta.Faces2xMigrationToJakarta3x","366","278","0","0.0","0","28572","0.99","531"
"org.openrewrite.java.ChangePackage","12078","278","0","0.0","0","763447986","0.99","18099708"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes$URLSingleArgumentConstructorRecipe","366","278","0","0.0","0","622921692","0.99","542856041"
"org.openrewrite.staticanalysis.PrimitiveWrapperClassConstructorToValueOf","366","278","0","0.0","0","59464020","0.99","6477444"
"org.openrewrite.staticanalysis.InstanceOfPatternMatch","366","278","0","0.0","0","160928531","0.99","40670522"
"org.openrewrite.java.migrate.SunNetSslPackageUnavailable","366","278","0","0.0","0","28393","0.99","360"
"org.openrewrite.java.migrate.cobertura.RemoveCoberturaMavenPlugin","366","278","0","0.0","0","39565","0.99","1063"
"org.openrewrite.java.migrate.RemovedZipFinalizeMethods","366","278","0","0.0","0","33743","0.99","741"
"org.openrewrite.java.migrate.RemovedPolicy","366","278","0","0.0","0","37300","0.99","981"
"org.openrewrite.java.migrate.javax.MigrateXMLInputFactoryNewInstanceToNewFactory","366","278","0","0.0","0","42870","0.99","911"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMajorToFeature","366","278","0","0.0","0","32254","0.99","1112"
"org.openrewrite.java.migrate.jakarta.JavaxServletToJakartaServlet","366","278","0","0.0","0","33995","0.99","440"
"org.openrewrite.java.migrate.jakarta.ApplicationPathWildcardNoLongerAccepted","366","278","0","0.0","0","64302708","0.99","11919688"
"org.openrewrite.java.migrate.jakarta.JavaxActivationMigrationToJakartaActivation","366","278","0","0.0","0","26397","0.99","411"
"org.openrewrite.java.migrate.jakarta.JavaxSecurityToJakartaSecurity","366","278","0","0.0","0","40754","0.99","561"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes$URLFourArgumentConstructorRecipe","366","278","0","0.0","0","19786651","0.99","6752546"
"org.openrewrite.java.migrate.ArrayStoreExceptionToTypeNotPresentException","366","278","0","0.0","0","665761","0.99","17174"
"org.openrewrite.java.migrate.jacoco.UpgradeJaCoCo","366","278","0","0.0","0","39236","0.99","15618"
"org.openrewrite.java.migrate.UseJavaUtilBase64","366","278","0","0.0","0","12195009","0.99","2838433"
"org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws","366","278","0","0.0","0","36855","0.99","631"
